SMLL - Carteira do Dia 26/09/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
POSI3;POSITIVO TEC;ON      NM;73.573.028;0,328;
QUAL3;QUALICORP;ON      NM;277.039.277;0,824;
LJQQ3;QUERO-QUERO;ON      NM;178.967.429;0,370;
RAPT4;RANDON PART;PN      N1;177.742.165;0,578;
RCSL3;RECRUSUL;ON;3.686.690;0,003;
ROMI3;ROMI;ON      NM;37.265.960;0,216;
SAPR11;SANEPAR;UNT     N2;201.081.484;1,209;
STBP3;SANTOS BRP;ON      NM;858.379.874;2,411;
SEQL3;SEQUOIA LOG;ON      NM;122.619.788;0,260;
SEER3;SER EDUCA;ON      NM;52.472.207;0,121;
SIMH3;SIMPAR;ON      NM;227.175.535;0,785;
SQIA3;SINQIA;ON      NM;73.018.499;0,456;
SLCE3;SLC AGRICOLA;ON      NM;96.272.020;1,548;
SMFT3;SMART FIT;ON      NM;258.804.766;1,328;
SULA11;SUL AMERICA;UNT     N2;284.059.601;2,421;
SYNE3;SYN PROP TEC;ON      NM;58.932.234;0,096;
TASA4;TAURUS ARMAS;PN      N2;63.034.317;0,340;
TRAD3;TC;ON      NM;85.157.011;0,115;
TECN3;TECHNOS;ON      NM;46.840.035;0,037;
TGMA3;TEGMA;ON      NM;32.001.480;0,208;
TEND3;TENDA;ON      NM;95.672.515;0,237;
TRIS3;TRISUL;ON      NM;71.349.496;0,128;
TUPY3;TUPY;ON      NM;67.547.494;0,617;
UNIP6;UNIPAR;PNB;49.241.308;1,594;
USIM3;USIMINAS;ON      N1;161.021.703;0,440;
USIM5;USIMINAS;PNA     N1;515.014.562;1,307;
VLID3;VALID;ON      NM;79.254.979;0,272;
VIIA3;VIA;ON      NM;1.576.975.642;1,762;
VIVA3;VIVARA S.A.;ON      NM;99.216.524;0,899;
VULC3;VULCABRAS;ON      NM;73.766.391;0,362;
WIZS3;WIZ S.A.;ON      NM;75.275.228;0,206;
YDUQ3;YDUQS PART;ON      NM;296.015.511;1,354;
Quantidade Teórica Total;;;31.303.070.791;100,000
Redutor;;;133.212.282,40057528
