IBOV - Carteira do Dia 26/09/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
POSI3;POSITIVO TEC;ON      NM;73.573.028;0,047;
QUAL3;QUALICORP;ON      NM;277.039.277;0,117;
RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,333;
RAIZ4;RAIZEN;PN      N2;1.246.412.032;0,260;
RDOR3;REDE D OR;ON  EJ  NM;932.048.593;1,526;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,118;
SBSP3;SABESP;ON      NM;340.002.999;0,749;
SANB11;SANTANDER BR;UNT;355.642.848;0,524;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,183;
CSNA3;SID NACIONAL;ON;589.695.175;0,359;
SLCE3;SLC AGRICOLA;ON      NM;96.272.020;0,221;
SULA11;SUL AMERICA;UNT     N2;284.059.601;0,345;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,469;
TAEE11;TAESA;UNT     N2;218.568.234;0,434;
VIVT3;TELEF BRASIL;ON;429.455.552;0,856;
TIMS3;TIM;ON  EJ  NM;808.436.195;0,466;
TOTS3;TOTVS;ON      NM;519.851.955;0,731;
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,650;
USIM5;USIMINAS;PNA     N1;515.014.562;0,186;
VALE3;VALE;ON      NM;4.547.296.398;14,815;
VIIA3;VIA;ON      NM;1.576.975.642;0,251;
VBBR3;VIBRA;ON  EJ  NM;1.114.442.976;0,981;
WEGE3;WEG;ON  EJ  NM;1.481.593.024;2,149;
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,194;
Quantidade Teórica Total;;;100.473.271.525;100,000
Redutor;;;18.839.495,17595200
