IBOV - Carteira do Dia 24/10/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;200.453.863;0,406;
ALPA4;ALPARGATAS;PN      N1;202.765.994;0,188;
ABEV3;AMBEV S/A;ON;4.386.652.506;2,971;
AMER3;AMERICANAS;ON      NM;596.086.291;0,383;
ARZZ3;AREZZO CO;ON      NM;60.358.029;0,267;
ASAI3;ASSAI;ON      NM;795.949.801;0,655;
AZUL4;AZUL;PN      N2;327.646.296;0,247;
B3SA3;B3;ON      NM;5.901.731.302;3,815;
BPAN4;BANCO PAN;PN      N1;341.549.703;0,113;
BBSE3;BBSEGURIDADE;ON      NM;671.682.536;0,866;
BRML3;BR MALLS PAR;ON      NM;828.273.884;0,368;
BBDC3;BRADESCO;ON      N1;1.508.883.586;1,159;
BBDC4;BRADESCO;PN      N1;5.156.077.326;4,729;
BRAP4;BRADESPAR;PN      N1;251.025.058;0,283;
BBAS3;BRASIL;ON      NM;1.420.731.069;2,808;
BRKM5;BRASKEM;PNA     N1;265.212.486;0,405;
BRFS3;BRF SA;ON      NM;1.076.512.610;0,712;
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,550;
CRFB3;CARREFOUR BR;ON      NM;528.743.156;0,447;
CCRO3;CCR SA;ON      NM;1.115.681.435;0,628;
CMIG4;CEMIG;PN      N1;1.442.098.974;0,735;
CIEL3;CIELO;ON      NM;1.095.401.258;0,281;
COGN3;COGNA ON;ON      NM;1.820.405.422;0,235;
CPLE6;COPEL;PNB     N2;1.563.365.506;0,476;
CSAN3;COSAN;ON      NM;1.171.063.698;0,886;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,288;
CMIN3;CSNMINERACAO;ON      N2;1.110.550.596;0,170;
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,083;
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,220;
DXCO3;DEXCO;ON      NM;274.863.424;0,111;
ECOR3;ECORODOVIAS;ON      NM;333.657.615;0,081;
ELET3;ELETROBRAS;ON      N1;1.447.696.333;3,136;
ELET6;ELETROBRAS;PNB     N1;279.941.393;0,637;
EMBR3;EMBRAER;ON      NM;734.632.205;0,408;
ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,249;
ENGI11;ENERGISA;UNT     N2;248.477.689;0,516;
ENEV3;ENEVA;ON      NM;1.561.135.009;0,955;
EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,446;
EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,390;
EZTC3;EZTEC;ON      NM;94.318.339;0,087;
FLRY3;FLEURY;ON  ES  NM;370.847.036;0,298;
GGBR4;GERDAU;PN      N1;1.111.956.242;1,328;
GOAU4;GERDAU MET;PN      N1;686.077.578;0,355;
GOLL4;GOL;PN      N2;190.059.275;0,083;
NTCO3;GRUPO NATURA;ON      NM;835.961.011;0,559;
SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,305;
HAPV3;HAPVIDA;ON      NM;4.454.740.939;1,468;
HYPE3;HYPERA;ON      NM;400.842.480;0,864;
IGTI11;IGUATEMI S.A;UNT     N1;216.457.368;0,213;
IRBR3;IRBBRASIL RE;ON      NM;2.455.237.214;0,115;
ITSA4;ITAUSA;PN      N1;4.736.060.282;2,279;
ITUB4;ITAUUNIBANCO;PN      N1;4.799.907.051;6,595;
JBSS3;JBS;ON      NM;1.134.986.483;1,293;
KLBN11;KLABIN S/A;UNT     N2;701.899.756;0,641;
RENT3;LOCALIZA;ON      NM;893.978.241;2,695;
LWSA3;LOCAWEB;ON      NM;419.466.860;0,195;
LREN3;LOJAS RENNER;ON      NM;970.515.779;1,248;
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,528;
MRFG3;MARFRIG;ON      NM;316.724.584;0,159;
CASH3;MELIUZ;ON      NM;657.963.256;0,032;
BEEF3;MINERVA;ON      NM;260.409.710;0,165;
MRVE3;MRV;ON      NM;298.436.955;0,123;
MULT3;MULTIPLAN;ON      N2;268.145.328;0,299;
PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,148;
PETR3;PETROBRAS;ON      N2;2.684.384.823;4,935;
PETR4;PETROBRAS;PN      N2;4.566.441.248;7,620;
PRIO3;PETRORIO;ON      NM;839.159.130;1,257;
PETZ3;PETZ;ON      NM;335.672.329;0,128;
POSI3;POSITIVO TEC;ON      NM;73.573.028;0,042;
QUAL3;QUALICORP;ON      NM;277.039.277;0,089;
RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,273;
RAIZ4;RAIZEN;PN      N2;1.246.412.032;0,235;
