IBOV - Carteira do Dia 24/10/22
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RDOR3;REDE D OR;ON      NM;932.048.593;1,243;
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,143;
SBSP3;SABESP;ON      NM;340.002.999;0,884;
SANB11;SANTANDER BR;UNT EDJ;355.642.848;0,495;
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,176;
CSNA3;SID NACIONAL;ON;589.695.175;0,370;
SLCE3;SLC AGRICOLA;ON      NM;96.272.020;0,195;
SULA11;SUL AMERICA;UNT     N2;284.059.601;0,281;
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,598;
TAEE11;TAESA;UNT     N2;218.568.234;0,386;
VIVT3;TELEF BRASIL;ON;429.455.552;0,759;
TIMS3;TIM;ON      NM;808.436.195;0,450;
TOTS3;TOTVS;ON      NM;519.851.955;0,720;
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,654;
USIM5;USIMINAS;PNA     N1;515.014.562;0,178;
VALE3;VALE;ON      NM;4.547.296.398;14,913;
VIIA3;VIA;ON      NM;1.576.975.642;0,216;
VBBR3;VIBRA;ON      NM;1.114.442.976;0,910;
WEGE3;WEG;ON      NM;1.481.593.024;2,307;
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,165;
Quantidade Teórica Total;;;100.579.945.354;100,000
Redutor;;;18.848.119,93683143
